accident_id;timestamp;address
1309334;16/10/2012 10:15;1, PLACE DU CHATELET
1309335;15/03/2012 17:10;41, RUE DE RIVOLI
1309336;19/04/2013 11:10;41, RUE DE RIVOLI
1309337;12/01/2012 22:30;19, RUE ETIENNE MARCEL
1309338;29/10/2013 01:10;29, BOULEVARD DE SEBASTO
1309339;06/09/2013 16:00;61, BOULEVARD DE SEBASTO
1309340;18/09/2013 15:25;QUAI FRANCOIS MITTERRAND
1309341;17/02/2013 17:20;10, QUAI FRANCOIS MITTER
1309342;25/09/2013 18:15;19, RUE SAINT GERMAIN L
1309343;28/09/2013 10:00;1, PLACE DU CARROUSEL
1309344;11/09/2013 12:35;1, PLACE DU CARROUSEL
1309345;18/12/2012 16:39;0, QUAI DES TUILERIES
1309346;15/12/2012 20:29;QUAI DES TUILERIES
1309347;13/12/2013 18:10;QUAI DES TUILERIES
1309348;23/12/2013 11:50;QUAI DES TUILERIES
1309349;09/09/2012 03:15;1, SOUTERRAIN TUILERIES
1309350;01/09/2012 23:40;QUAI DES TUILERIES
1309351;05/11/2012 09:15;QUAI DES TUILERIES
1309352;20/12/2013 15:50;3, RUE DES PYRAMIDES
1309353;15/03/2012 13:00;350, RUE SAINT HONORE
1309354;23/03/2013 15:20;350, RUE SAINT HONORE
1309355;06/12/2013 16:00;BOULEVARD DU PALAIS
1309356;20/07/2012 15:05;PONT AU CHANGE
1309357;04/02/2012 16:20;18, RUE DAUNOU
1309358;03/06/2012 19:30;3, PLACE DE L OPERA
1309359;25/01/2013 21:30;PLACE DE L OPERA
1309360;14/07/2013 03:15;42, AVENUE DE L OPERA
1309361;07/02/2012 07:45;, PLACE DE L OPERA
1309362;22/11/2012 08:00;59, RUE DE RICHELIEU
1309363;29/10/2012 12:25;69, RUE DE RICHELIEU
1309364;27/05/2012 20:05;11, BOULEVARD DES ITALIE
1309365;08/08/2013 09:30;75, RUE DE RICHELIEU
1309366;01/11/2013 20:35;134, RUE REAUMUR
1309367;04/01/2013 09:40;01, PLACE DE LA BOURSE
1309368;18/09/2013 19:50;160, RUE MONTMARTRE
1309369;29/08/2013 18:10;BOULEVARD POISSONNIERE
1309370;18/12/2012 14:50;127, RUE MONTMARTRE
1309371;10/11/2012 07:50;37, RUE DU LOUVRE
1309372;12/05/2012 17:45;36, RUE ETIENNE MARCEL
1309373;30/08/2013 01:22;RUE ETIENNE MARCEL
1309374;07/01/2013 18:10;31, BOULEVARD DE BONNE N
1309375;15/03/2012 12:10;73, RUE REAUMUR
1309376;28/02/2012 11:10;44, RUE DUSSOUBS
1309377;26/06/2012 14:20;29, RUE DE TURBIGO
1309378;28/02/2012 06:25;11, BOULEVARD HENRI IV
1309379;04/03/2012 21:35;85, RUE SAINT ANTOINE
1309380;01/10/2013 17:35;39, RUE SAINT ANTOINE
1309381;29/04/2013 15:16;34, BOULEVARD HENRI IV
1309382;27/04/2012 09:30;28, RUE SAINT ANTOINE
1309383;07/10/2012 09:10;12, RUE SAINT ANTOINE
1309384;09/06/2012 18:50;41, BOULEVARD HENRI IV
1309385;26/06/2013 23:10;42, BOULEVARD HENRI IV
1309386;16/07/2013 13:20;16, RUE CHANOINESSE
1309387;01/11/2013 17:30;29 BIS, RUE DES FRANCS B
